metric_date,users,purchase_users,sessions,purchase_sessions,product_view_sessions,cart_sessions,checkout_sessions,ordered_checkout_sessions,ordered_purchase_sessions,transactions,revenue_usd,missing_revenue_transactions,user_conversion,session_conversion,revenue_per_user,average_order_value,checkout_completion
2021-01-07,4171,25,4660,26,768,175,62,37,17,23,1452.0,0,0.005993766482857828,0.005579399141630901,0.34811795732438267,63.130434782608695,0.4594594594594595
2021-01-06,5486,28,5995,27,802,183,65,44,21,31,2000.0,0,0.005103900838497995,0.004503753127606339,0.36456434560699963,64.51612903225806,0.4772727272727273
2020-12-05,3082,76,3498,76,822,295,172,114,62,84,6325.0,0,0.02465931213497729,0.02172670097198399,2.0522388059701493,75.29761904761905,0.543859649122807
2020-12-02,4101,74,4801,76,1210,392,209,151,59,77,5144.0,0,0.01804437941965374,0.01583003540928973,1.2543282126310655,66.8051948051948,0.39072847682119205
2020-12-27,2493,20,2677,20,412,99,39,26,15,20,1161.0,0,0.008022462896109106,0.007471049682480389,0.4657039711191336,58.05,0.5769230769230769
2020-11-05,3272,26,3840,26,878,0,127,0,0,0,0.0,0,0.007946210268948655,0.0067708333333333336,0.0,,
2020-11-14,2076,29,2360,29,585,0,106,0,0,30,2338.0,0,0.013969171483622351,0.01228813559322034,1.1262042389210019,77.93333333333334,
2021-01-28,3735,56,4216,55,1031,189,89,60,44,5,128.0,0,0.01499330655957162,0.013045540796963948,0.03427041499330656,25.6,0.7333333333333333
2021-01-02,2581,14,2728,14,405,65,32,19,11,13,1026.0,0,0.005424254165052305,0.005131964809384164,0.39752034095311894,78.92307692307692,0.5789473684210527
2020-12-16,4820,115,5528,115,1183,334,183,124,79,139,10937.0,0,0.023858921161825725,0.020803183791606367,2.2690871369294605,78.68345323741008,0.6370967741935484
2021-01-31,2546,17,2841,18,569,103,56,43,16,0,0.0,0,0.006677140612725845,0.006335797254487857,0.0,,0.37209302325581395
2020-11-11,3296,63,3809,63,943,0,163,0,0,28,1461.0,0,0.01911407766990291,0.016539774218955108,0.44326456310679613,52.17857142857143,
2021-01-24,2701,35,2968,35,641,114,69,50,30,33,2334.0,0,0.01295816364309515,0.01179245283018868,0.8641243983709738,70.72727272727273,0.6
2020-11-13,2860,66,3338,69,854,0,186,0,0,78,5750.0,0,0.023076923076923078,0.02067106051527861,2.0104895104895104,73.71794871794872,
2020-11-17,3449,85,4063,85,1078,247,200,95,44,96,6080.0,0,0.024644824586836766,0.02092050209205021,1.7628298057407945,63.333333333333336,0.4631578947368421
2021-01-15,3550,38,3935,38,716,166,70,48,29,41,1993.0,0,0.010704225352112675,0.009656925031766201,0.5614084507042254,48.609756097560975,0.6041666666666666
2021-01-19,3713,47,4187,47,838,179,85,61,36,45,3756.0,0,0.012658227848101266,0.011225220921901122,1.0115809318610287,83.46666666666667,0.5901639344262295
2021-01-16,2892,23,3177,24,532,120,51,38,21,23,1406.0,0,0.007952973720608575,0.007554296506137866,0.48616874135546334,61.130434782608695,0.5526315789473685
2021-01-20,4222,94,4805,95,1193,243,143,97,66,82,6549.0,0,0.02226432970156324,0.019771071800208116,1.5511605873993368,79.86585365853658,0.6804123711340206
2020-11-29,2887,48,3253,50,708,267,127,84,46,49,3862.0,0,0.01662625562868029,0.01537042729787888,1.3377208174575683,78.81632653061224,0.5476190476190477
2020-12-11,4948,145,5607,145,1281,429,260,183,112,154,10322.0,0,0.029304769603880357,0.025860531478509006,2.086095392077607,67.02597402597402,0.6120218579234973
2020-12-04,4131,85,4714,86,1186,383,198,131,66,92,6398.0,0,0.0205761316872428,0.01824352991090369,1.5487775357056404,69.54347826086956,0.5038167938931297
2020-12-07,4709,89,5451,94,1216,371,204,114,58,104,8415.0,0,0.018899978764068806,0.017244542285819116,1.7870036101083033,80.91346153846153,0.5087719298245614
2020-11-12,3179,51,3693,51,947,0,169,0,0,53,3287.0,0,0.016042780748663103,0.01380991064175467,1.0339729474677573,62.0188679245283,
2021-01-05,4101,27,4485,28,701,152,54,34,16,27,1119.0,0,0.006583760058522311,0.006243032329988852,0.2728602779809802,41.44444444444444,0.47058823529411764
2021-01-25,3507,58,3906,58,944,148,84,69,46,53,3353.0,0,0.016538351867693184,0.014848950332821301,0.9560878243512974,63.264150943396224,0.6666666666666666
2021-01-12,4195,43,4721,43,846,170,79,54,30,46,2547.0,0,0.010250297973778308,0.00910823977970769,0.6071513706793802,55.369565217391305,0.5555555555555556
2020-12-06,2948,40,3327,41,766,258,140,86,30,41,2328.0,0,0.013568521031207599,0.0123234144875263,0.7896879240162822,56.78048780487805,0.3488372093023256
